year,rank,country,iso3,dig_services_exports_usd_millions
2010,1,United States,USA,329324.0
2010,2,United Kingdom,GBR,221705.0
2010,3,Germany,DEU,118296.0
2010,4,France,FRA,95231.0
2010,5,Netherlands,NLD,91658.0
2010,6,India,IND,83417.0
2010,7,Ireland,IRL,70816.0
2010,8,Switzerland,CHE,66749.0
2010,9,Japan,JPN,62241.0
2010,10,China,CHN,56020.0
2010,11,Luxembourg,LUX,54661.0
2010,12,Belgium,BEL,47373.0
2010,13,Canada,CAN,44406.0
2010,14,Italy,ITA,41036.0
2010,15,Singapore,SGP,37658.0
2010,16,Sweden,SWE,31426.0
2010,17,"Hong Kong SAR, China",HKG,27784.0
2010,18,Russian Federation,RUS,17631.0
2010,19,Austria,AUT,17447.0
2010,20,"Korea, Rep.",KOR,17369.0
2011,1,United States,USA,368944.0
2011,2,United Kingdom,GBR,253408.0
2011,3,Germany,DEU,135399.0
2011,4,France,FRA,108330.0
2011,5,Netherlands,NLD,99768.0
2011,6,India,IND,94132.0
2011,7,Ireland,IRL,81860.0
2011,8,Switzerland,CHE,76443.0
2011,9,China,CHN,72874.0
2011,10,Japan,JPN,69841.0
2011,11,Luxembourg,LUX,60520.0
2011,12,Belgium,BEL,51689.0
2011,13,Canada,CAN,50119.0
2011,14,Singapore,SGP,47176.0
2011,15,Italy,ITA,45950.0
2011,16,Sweden,SWE,39604.0
2011,17,"Hong Kong SAR, China",HKG,30014.0
2011,18,"Korea, Rep.",KOR,21225.0
2011,19,Austria,AUT,21104.0
2011,20,Russian Federation,RUS,20612.0
2012,1,United States,USA,390308.0
2012,2,United Kingdom,GBR,255153.0
2012,3,Germany,DEU,140804.0
2012,4,France,FRA,109297.0
2012,5,India,IND,104580.0
2012,6,Netherlands,NLD,94974.0
2012,7,Switzerland,CHE,81390.0
2012,8,Ireland,IRL,78587.0
2012,9,China,CHN,71724.0
2012,10,Luxembourg,LUX,63639.0
2012,11,Japan,JPN,62342.0
2012,12,Singapore,SGP,54421.0
2012,13,Belgium,BEL,53079.0
2012,14,Canada,CAN,52825.0
2012,15,Italy,ITA,46646.0
2012,16,Sweden,SWE,39517.0
2012,17,Spain,ESP,36559.0
2012,18,"Hong Kong SAR, China",HKG,32489.0
2012,19,"Korea, Rep.",KOR,23738.0
2012,20,Russian Federation,RUS,23007.0
2013,1,United States,USA,406191.0
2013,2,United Kingdom,GBR,266049.0
2013,3,Germany,DEU,152386.0
2013,4,France,FRA,124139.0
2013,5,India,IND,111667.0
2013,6,Netherlands,NLD,100301.0
2013,7,Ireland,IRL,88319.0
2013,8,Switzerland,CHE,81500.0
2013,9,China,CHN,80382.0
2013,10,Luxembourg,LUX,73762.0
2013,11,Japan,JPN,65167.0
2013,12,Singapore,SGP,62770.0
2013,13,Belgium,BEL,61499.0
2013,14,Canada,CAN,54074.0
2013,15,Sweden,SWE,46838.0
2013,16,Italy,ITA,46658.0
2013,17,Spain,ESP,36217.0
2013,18,"Hong Kong SAR, China",HKG,33742.0
2013,19,Russian Federation,RUS,26564.0
2013,20,"Korea, Rep.",KOR,25962.0
2014,1,United States,USA,434490.0
2014,2,United Kingdom,GBR,282673.0
2014,3,Germany,DEU,170946.0
2014,4,France,FRA,135254.0
2014,5,Netherlands,NLD,124287.0
2014,6,India,IND,113926.0
2014,7,Ireland,IRL,100831.0
2014,8,China,CHN,96417.0
2014,9,Switzerland,CHE,88016.0
2014,10,Japan,JPN,84806.0
2014,11,Luxembourg,LUX,83322.0
2014,12,Singapore,SGP,70750.0
2014,13,Belgium,BEL,69530.0
2014,14,Canada,CAN,53382.0
2014,15,Sweden,SWE,49303.0
2014,16,Italy,ITA,47475.0
2014,17,Spain,ESP,39268.0
2014,18,"Hong Kong SAR, China",HKG,35746.0
2014,19,"Korea, Rep.",KOR,31452.0
2014,20,Austria,AUT,26498.0
2015,1,United States,USA,437737.0
2015,2,United Kingdom,GBR,272450.0
2015,3,Germany,DEU,161481.0
2015,4,France,FRA,124334.0
2015,5,Netherlands,NLD,124286.0
2015,6,India,IND,116620.0
2015,7,Ireland,IRL,102426.0
2015,8,China,CHN,91104.0
2015,9,Switzerland,CHE,85665.0
2015,10,Japan,JPN,84308.0
2015,11,Luxembourg,LUX,81327.0
2015,12,Singapore,SGP,77557.0
2015,13,Belgium,BEL,63903.0
2015,14,Canada,CAN,48331.0
2015,15,Sweden,SWE,46694.0
2015,16,Italy,ITA,39302.0
2015,17,"Hong Kong SAR, China",HKG,37705.0
2015,18,Spain,ESP,34520.0
2015,19,"Korea, Rep.",KOR,31135.0
2015,20,United Arab Emirates,ARE,26355.0
2016,1,United States,USA,455020.0
2016,2,United Kingdom,GBR,267532.0
2016,3,Germany,DEU,173670.0
2016,4,France,FRA,132909.0
2016,5,Netherlands,NLD,120301.0
2016,6,India,IND,119260.0
2016,7,Ireland,IRL,117934.0
2016,8,Japan,JPN,95188.0
2016,9,China,CHN,91510.0
2016,10,Switzerland,CHE,89103.0
2016,11,Luxembourg,LUX,82125.0
2016,12,Singapore,SGP,80285.0
2016,13,Belgium,BEL,64545.0
2016,14,Canada,CAN,48823.0
2016,15,Sweden,SWE,45907.0
2016,16,Italy,ITA,41561.0
2016,17,Spain,ESP,37094.0
2016,18,"Hong Kong SAR, China",HKG,36811.0
2016,19,"Korea, Rep.",KOR,34164.0
2016,20,Israel,ISR,28559.0
2017,1,United States,USA,498283.0
2017,2,United Kingdom,GBR,283165.0
2017,3,Germany,DEU,188558.0
2017,4,Ireland,IRL,146099.0
2017,5,Netherlands,NLD,142943.0
2017,6,France,FRA,132522.0
2017,7,India,IND,125560.0
2017,8,China,CHN,100239.0
2017,9,Japan,JPN,99559.0
2017,10,Singapore,SGP,94489.0
2017,11,Switzerland,CHE,88930.0
2017,12,Luxembourg,LUX,88538.0
2017,13,Belgium,BEL,70313.0
2017,14,Canada,CAN,52253.0
2017,15,Italy,ITA,46729.0
2017,16,Sweden,SWE,46034.0
2017,17,Spain,ESP,41897.0
2017,18,"Hong Kong SAR, China",HKG,39605.0
2017,19,"Korea, Rep.",KOR,36484.0
2017,20,Israel,ISR,32904.0
