year,rank,country,iso3,dig_services_imports_usd_millions
2010,1,United States,USA,219641.0
2010,2,Germany,DEU,109193.0
2010,3,Ireland,IRL,96130.0
2010,4,United Kingdom,GBR,85736.0
2010,5,France,FRA,85534.0
2010,6,Netherlands,NLD,80156.0
2010,7,Japan,JPN,66944.0
2010,8,China,CHN,66289.0
2010,9,Switzerland,CHE,64175.0
2010,10,Italy,ITA,53903.0
2010,11,Singapore,SGP,44966.0
2010,12,Canada,CAN,43702.0
2010,13,India,IND,42404.0
2010,14,Belgium,BEL,40315.0
2010,15,Luxembourg,LUX,36136.0
2010,16,"Korea, Rep.",KOR,35571.0
2010,17,Brazil,BRA,28894.0
2010,18,Russian Federation,RUS,26793.0
2010,19,Sweden,SWE,23560.0
2010,20,United Arab Emirates,ARE,20300.0
2011,1,United States,USA,232158.0
2011,2,Germany,DEU,127820.0
2011,3,Ireland,IRL,107883.0
2011,4,United Kingdom,GBR,93939.0
2011,5,France,FRA,93587.0
2011,6,Netherlands,NLD,87988.0
2011,7,China,CHN,85903.0
2011,8,Switzerland,CHE,76740.0
2011,9,Japan,JPN,73566.0
2011,10,Singapore,SGP,56913.0
2011,11,Italy,ITA,56416.0
2011,12,Canada,CAN,46462.0
2011,13,Belgium,BEL,44578.0
2011,14,India,IND,42701.0
2011,15,Luxembourg,LUX,41182.0
2011,16,"Korea, Rep.",KOR,36105.0
2011,17,Brazil,BRA,35323.0
2011,18,Russian Federation,RUS,31587.0
2011,19,United Arab Emirates,ARE,29197.0
2011,20,Sweden,SWE,27532.0
2012,1,United States,USA,237822.0
2012,2,Germany,DEU,130190.0
2012,3,Ireland,IRL,100502.0
2012,4,France,FRA,98235.0
2012,5,United Kingdom,GBR,95516.0
2012,6,China,CHN,85149.0
2012,7,Netherlands,NLD,83192.0
2012,8,Switzerland,CHE,77331.0
2012,9,Japan,JPN,75605.0
2012,10,Singapore,SGP,66009.0
2012,11,Italy,ITA,51619.0
2012,12,Canada,CAN,49316.0
2012,13,Belgium,BEL,47240.0
2012,14,India,IND,45155.0
2012,15,Luxembourg,LUX,44336.0
2012,16,"Korea, Rep.",KOR,41194.0
2012,17,Brazil,BRA,39248.0
2012,18,Russian Federation,RUS,35603.0
2012,19,Spain,ESP,33542.0
2012,20,United Arab Emirates,ARE,32531.0
2013,1,United States,USA,240750.0
2013,2,Germany,DEU,141166.0
2013,3,France,FRA,113110.0
2013,4,Ireland,IRL,105369.0
2013,5,United Kingdom,GBR,103079.0
2013,6,China,CHN,98257.0
2013,7,Netherlands,NLD,89097.0
2013,8,Switzerland,CHE,81921.0
2013,9,Japan,JPN,76378.0
2013,10,Singapore,SGP,75752.0
2013,11,Luxembourg,LUX,52676.0
2013,12,Belgium,BEL,52128.0
2013,13,Italy,ITA,51447.0
2013,14,Canada,CAN,50342.0
2013,15,India,IND,43387.0
2013,16,"Korea, Rep.",KOR,41770.0
2013,17,Russian Federation,RUS,39844.0
2013,18,Brazil,BRA,39780.0
2013,19,United Arab Emirates,ARE,32651.0
2013,20,Spain,ESP,30923.0
2014,1,United States,USA,256665.0
2014,2,Germany,DEU,151230.0
2014,3,Netherlands,NLD,132094.0
2014,4,Ireland,IRL,127508.0
2014,5,France,FRA,125270.0
2014,6,United Kingdom,GBR,115108.0
2014,7,China,CHN,98795.0
2014,8,Japan,JPN,94121.0
2014,9,Switzerland,CHE,90682.0
2014,10,Singapore,SGP,82009.0
2014,11,Belgium,BEL,61887.0
2014,12,Luxembourg,LUX,60440.0
2014,13,Italy,ITA,54074.0
2014,14,Canada,CAN,50186.0
2014,15,United Arab Emirates,ARE,48070.0
2014,16,"Korea, Rep.",KOR,44582.0
2014,17,Brazil,BRA,43965.0
2014,18,India,IND,42245.0
2014,19,Russian Federation,RUS,39532.0
2014,20,Sweden,SWE,35290.0
2015,1,United States,USA,258335.0
2015,2,Ireland,IRL,163369.0
2015,3,Netherlands,NLD,157942.0
2015,4,Germany,DEU,140261.0
2015,5,France,FRA,118308.0
2015,6,United Kingdom,GBR,115034.0
2015,7,Japan,JPN,95161.0
2015,8,Switzerland,CHE,88351.0
2015,9,China,CHN,82985.0
2015,10,Singapore,SGP,79288.0
2015,11,Luxembourg,LUX,57952.0
2015,12,Belgium,BEL,57893.0
2015,13,Italy,ITA,48011.0
2015,14,Canada,CAN,46974.0
2015,15,United Arab Emirates,ARE,46607.0
2015,16,India,IND,43214.0
2015,17,"Korea, Rep.",KOR,42891.0
2015,18,Brazil,BRA,40594.0
2015,19,Spain,ESP,32386.0
2015,20,Sweden,SWE,31838.0
2016,1,United States,USA,276304.0
2016,2,Ireland,IRL,204998.0
2016,3,Germany,DEU,150540.0
2016,4,Netherlands,NLD,128687.0
2016,5,France,FRA,120209.0
2016,6,United Kingdom,GBR,118000.0
2016,7,Japan,JPN,103577.0
2016,8,China,CHN,94035.0
2016,9,Switzerland,CHE,90672.0
2016,10,Singapore,SGP,80683.0
2016,11,Luxembourg,LUX,58101.0
2016,12,Belgium,BEL,57133.0
2016,13,Italy,ITA,50152.0
2016,14,India,IND,49367.0
2016,15,Canada,CAN,48397.0
2016,16,"Korea, Rep.",KOR,42669.0
2016,17,Brazil,BRA,37259.0
2016,18,Spain,ESP,34676.0
2016,19,United Arab Emirates,ARE,34384.0
2016,20,Sweden,SWE,32165.0
2017,1,United States,USA,298599.0
2017,2,Ireland,IRL,215611.0
2017,3,Germany,DEU,166616.0
